               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.043539,            0.068131,            0.010035,             0.87905,             0.84438,             0.85208,              0.4257,            0.040567,            0.057376,            0.015016,            0.006964,            0.006964,            0.006964
                  94,            0.042955,            0.059503,           0.0090583,             0.85474,              0.8626,             0.85786,             0.42756,            0.040776,            0.058069,            0.013949,            0.006931,            0.006931,            0.006931
                  95,            0.043271,            0.060816,           0.0082672,             0.87031,               0.842,             0.85212,             0.44812,            0.040442,            0.057121,            0.013155,            0.006898,            0.006898,            0.006898
                  96,            0.042417,            0.059663,           0.0090274,             0.88411,             0.85815,             0.86512,             0.44657,            0.040618,            0.056522,            0.012491,            0.006865,            0.006865,            0.006865
                  97,            0.042128,            0.058831,           0.0081041,             0.86638,              0.8555,             0.85295,             0.42818,            0.041424,            0.056552,            0.012745,            0.006832,            0.006832,            0.006832
                  98,            0.042613,            0.061993,           0.0085371,             0.88704,             0.83943,             0.85147,             0.42507,            0.041542,             0.05674,             0.01262,            0.006799,            0.006799,            0.006799
                  99,            0.042636,            0.056887,           0.0085064,             0.87924,             0.83791,             0.85795,             0.42227,            0.041359,            0.056993,            0.012278,            0.006766,            0.006766,            0.006766
                 100,             0.04298,             0.06169,           0.0079239,             0.87455,             0.86677,             0.87072,             0.44724,            0.040655,            0.056882,            0.011959,            0.006733,            0.006733,            0.006733
                 101,             0.04145,            0.060002,           0.0086138,             0.86828,             0.86528,             0.85145,             0.44354,            0.041067,            0.056879,            0.011977,              0.0067,              0.0067,              0.0067
                 102,            0.042072,            0.058232,           0.0076155,             0.89566,             0.84384,             0.86129,             0.43929,            0.041094,            0.056882,            0.012155,            0.006667,            0.006667,            0.006667
                 103,            0.042241,            0.060071,           0.0080611,               0.885,             0.82784,             0.83628,             0.44254,            0.040354,            0.058147,            0.013688,            0.006634,            0.006634,            0.006634
                 104,            0.042158,            0.059852,           0.0073756,             0.88119,             0.85914,             0.86885,             0.44122,            0.040742,            0.057053,            0.011592,            0.006601,            0.006601,            0.006601
                 105,            0.041948,            0.057442,           0.0077324,             0.87923,              0.8594,             0.85551,             0.43675,            0.040516,            0.056439,            0.012117,            0.006568,            0.006568,            0.006568
                 106,            0.041741,            0.062826,           0.0079634,             0.88114,             0.85621,             0.85219,             0.44033,            0.040891,            0.056932,             0.01162,            0.006535,            0.006535,            0.006535
                 107,            0.042804,            0.059783,           0.0074958,             0.87657,             0.83207,             0.84753,             0.42179,            0.040849,            0.058217,            0.013436,            0.006502,            0.006502,            0.006502
                 108,            0.042034,            0.059975,            0.007806,             0.88699,             0.86459,              0.8627,             0.44891,            0.040607,            0.057281,             0.01253,            0.006469,            0.006469,            0.006469
                 109,            0.040623,            0.058923,           0.0077456,             0.90724,              0.8622,              0.8686,             0.45446,            0.039996,            0.056731,             0.01156,            0.006436,            0.006436,            0.006436
                 110,            0.041015,            0.061515,           0.0092497,             0.88105,             0.85014,             0.86679,             0.45582,            0.040164,            0.056419,            0.013342,            0.006403,            0.006403,            0.006403
                 111,            0.040443,            0.058208,           0.0083408,             0.87566,             0.85745,             0.86687,             0.45963,            0.039986,            0.056483,            0.011507,             0.00637,             0.00637,             0.00637
                 112,            0.039051,            0.059609,           0.0074662,             0.87109,              0.7798,             0.81834,             0.43811,            0.039068,             0.05627,            0.017416,            0.006337,            0.006337,            0.006337
                 113,            0.041639,            0.062168,           0.0074437,             0.86495,             0.82167,              0.8377,               0.424,            0.041615,            0.058171,            0.014534,            0.006304,            0.006304,            0.006304
                 114,            0.042447,            0.062374,           0.0073079,             0.85667,             0.75364,             0.80923,             0.41452,            0.041796,            0.059067,            0.020758,            0.006271,            0.006271,            0.006271
                 115,            0.041241,            0.062551,           0.0071464,               0.861,             0.85263,             0.84681,             0.45054,            0.040266,            0.056911,            0.012959,            0.006238,            0.006238,            0.006238
                 116,            0.040848,            0.058818,           0.0066929,             0.89474,             0.86625,             0.87306,             0.45258,            0.040126,            0.056548,            0.010896,            0.006205,            0.006205,            0.006205
                 117,             0.04037,             0.05796,           0.0061278,              0.8988,             0.86928,             0.88345,             0.45753,            0.040036,            0.056361,            0.010212,            0.006172,            0.006172,            0.006172
                 118,            0.041125,            0.058742,           0.0065302,             0.89182,             0.86607,             0.87581,             0.44617,            0.040502,            0.056342,            0.010393,            0.006139,            0.006139,            0.006139
                 119,            0.041119,            0.061024,           0.0064256,             0.91929,              0.8708,             0.87175,             0.47669,            0.039275,             0.05583,            0.010638,            0.006106,            0.006106,            0.006106
                 120,            0.040373,             0.06039,           0.0060535,              0.9179,             0.86743,             0.87181,             0.46553,            0.039733,            0.055875,            0.011003,            0.006073,            0.006073,            0.006073
                 121,            0.039361,            0.059221,           0.0062106,             0.90425,             0.86443,              0.8692,             0.47037,            0.039682,            0.056239,            0.011057,             0.00604,             0.00604,             0.00604
                 122,            0.040148,            0.059963,           0.0058124,             0.90467,             0.85173,              0.8617,             0.46417,            0.039325,            0.057091,            0.012155,            0.006007,            0.006007,            0.006007
                 123,            0.040984,            0.063878,           0.0059809,             0.89182,              0.8624,              0.8605,             0.45782,            0.039438,            0.057111,            0.011641,            0.005974,            0.005974,            0.005974
                 124,            0.041535,            0.061255,           0.0057382,             0.90348,              0.8831,              0.8742,             0.46279,            0.040392,            0.056412,           0.0098197,            0.005941,            0.005941,            0.005941
                 125,            0.039886,             0.05731,           0.0064248,              0.9069,             0.86663,             0.86221,             0.45881,            0.040054,            0.056465,            0.010946,            0.005908,            0.005908,            0.005908
                 126,            0.040684,            0.061089,           0.0058034,             0.89675,             0.85679,              0.8454,             0.42105,            0.041397,            0.056592,             0.01114,            0.005875,            0.005875,            0.005875
                 127,            0.039405,            0.059697,           0.0073446,             0.91227,             0.85929,             0.86718,             0.46113,            0.040469,            0.056514,            0.011458,            0.005842,            0.005842,            0.005842
                 128,            0.039132,            0.058219,           0.0068567,             0.88789,             0.86675,             0.86529,             0.46303,            0.039685,            0.056674,            0.011478,            0.005809,            0.005809,            0.005809
                 129,            0.039807,            0.060189,           0.0060242,             0.90964,             0.86705,              0.8676,             0.46149,            0.039469,            0.056287,             0.01116,            0.005776,            0.005776,            0.005776
                 130,            0.038955,             0.05845,           0.0055388,             0.90395,              0.8541,             0.85706,             0.46087,            0.039545,            0.056328,            0.013229,            0.005743,            0.005743,            0.005743
                 131,            0.039615,            0.061989,           0.0053535,             0.88246,             0.87184,             0.86256,             0.46397,            0.039403,            0.055443,            0.010348,             0.00571,             0.00571,             0.00571
                 132,            0.039355,            0.057827,           0.0054088,             0.90408,             0.85965,             0.86498,             0.47016,            0.038958,            0.056639,            0.010587,            0.005677,            0.005677,            0.005677
                 133,            0.039588,            0.063972,           0.0052179,             0.90489,             0.86674,             0.86923,             0.47176,            0.038797,            0.057091,            0.010732,            0.005644,            0.005644,            0.005644
                 134,             0.03799,            0.059593,           0.0056041,             0.92009,             0.87178,             0.87908,             0.48313,            0.039311,            0.056866,            0.010555,            0.005611,            0.005611,            0.005611
                 135,            0.039185,            0.059109,           0.0052369,             0.91142,             0.86439,             0.87417,             0.45252,            0.040647,            0.056456,            0.010603,            0.005578,            0.005578,            0.005578
                 136,            0.039664,            0.056195,           0.0054282,             0.91239,              0.8583,             0.88364,             0.47048,            0.038956,             0.05638,            0.010201,            0.005545,            0.005545,            0.005545
                 137,            0.039802,            0.060676,           0.0051618,             0.89532,             0.87805,             0.87732,             0.47136,            0.039659,             0.05634,           0.0096772,            0.005512,            0.005512,            0.005512
                 138,            0.038826,            0.059225,           0.0054416,             0.90146,             0.88075,             0.86971,             0.47381,            0.039134,            0.057034,            0.010144,            0.005479,            0.005479,            0.005479
                 139,            0.039448,            0.055953,           0.0054248,             0.89532,             0.85764,             0.85593,             0.45353,            0.040111,            0.057628,            0.011575,            0.005446,            0.005446,            0.005446
                 140,            0.039958,            0.063944,           0.0048324,             0.88121,             0.83944,             0.85343,             0.45857,            0.039911,            0.057513,            0.012078,            0.005413,            0.005413,            0.005413
                 141,            0.040311,            0.062004,           0.0054753,             0.90103,             0.85926,             0.87091,             0.45745,            0.039796,            0.057477,            0.011429,             0.00538,             0.00538,             0.00538
                 142,            0.039064,            0.057134,           0.0053382,             0.91415,             0.87521,             0.87425,             0.47597,            0.039421,            0.056863,            0.010152,            0.005347,            0.005347,            0.005347
                 143,              0.0365,            0.053496,           0.0051631,             0.91329,              0.8766,             0.87804,             0.47092,            0.039785,            0.057089,            0.009212,            0.005314,            0.005314,            0.005314
                 144,            0.038645,            0.060346,           0.0046168,             0.91715,             0.87532,              0.8765,             0.47477,            0.039071,            0.057095,            0.009244,            0.005281,            0.005281,            0.005281
                 145,            0.038136,            0.061051,           0.0050915,             0.90692,             0.87202,             0.87534,             0.47703,            0.039177,            0.056926,           0.0093994,            0.005248,            0.005248,            0.005248
                 146,            0.038349,            0.058736,           0.0056127,              0.9031,              0.8693,             0.86446,              0.4537,            0.039984,             0.05686,           0.0097175,            0.005215,            0.005215,            0.005215
                 147,            0.039026,            0.055771,           0.0047198,             0.91465,             0.86913,             0.87043,             0.46128,            0.039639,            0.057181,           0.0096624,            0.005182,            0.005182,            0.005182
                 148,            0.037234,            0.057979,           0.0049552,             0.91485,             0.87511,             0.87283,             0.47759,            0.038703,            0.057228,           0.0099325,            0.005149,            0.005149,            0.005149
                 149,            0.038422,             0.05647,           0.0048964,             0.88531,             0.85356,              0.8623,             0.46307,            0.039859,            0.058698,            0.010522,            0.005116,            0.005116,            0.005116
                 150,            0.039254,            0.061657,           0.0052123,             0.88131,             0.85732,              0.8528,             0.46669,            0.038963,            0.056615,            0.011073,            0.005083,            0.005083,            0.005083
                 151,            0.038273,            0.059244,           0.0060761,             0.88311,             0.85139,              0.8578,             0.46207,            0.038754,            0.056706,            0.011137,             0.00505,             0.00505,             0.00505
                 152,            0.038152,            0.058394,           0.0053948,             0.88841,              0.8567,             0.86355,             0.46418,            0.039424,            0.057298,            0.010145,            0.005017,            0.005017,            0.005017
                 153,             0.03875,            0.056865,           0.0045801,             0.90181,             0.85114,              0.8703,             0.47675,            0.038682,            0.057283,            0.010635,            0.004984,            0.004984,            0.004984
                 154,            0.038123,            0.058424,           0.0053771,             0.90596,             0.86667,             0.87392,             0.47614,            0.038747,            0.057079,           0.0095537,            0.004951,            0.004951,            0.004951
                 155,            0.037769,            0.059594,           0.0047034,                0.91,             0.87198,             0.87751,             0.47054,            0.039124,            0.057027,           0.0092645,            0.004918,            0.004918,            0.004918
                 156,            0.037654,            0.057907,           0.0047174,             0.91178,             0.86298,             0.87078,             0.47591,            0.038556,            0.056935,            0.010755,            0.004885,            0.004885,            0.004885
                 157,            0.038637,            0.058444,           0.0042258,             0.90706,             0.85893,             0.87066,             0.46391,            0.039692,            0.056705,            0.011118,            0.004852,            0.004852,            0.004852
                 158,            0.039336,            0.058137,           0.0051523,             0.89977,              0.8635,             0.86654,             0.45397,            0.039562,             0.05732,            0.010986,            0.004819,            0.004819,            0.004819
                 159,            0.039371,            0.059466,           0.0045649,             0.90943,             0.86556,             0.86437,             0.45162,            0.039706,            0.057469,             0.01078,            0.004786,            0.004786,            0.004786
                 160,            0.037385,            0.053112,            0.004691,             0.91305,             0.86266,             0.86685,             0.45656,            0.039914,            0.057327,           0.0096183,            0.004753,            0.004753,            0.004753
                 161,            0.037055,            0.056775,           0.0048953,             0.91792,             0.87185,             0.87426,             0.47151,            0.038939,            0.056979,           0.0098152,             0.00472,             0.00472,             0.00472
                 162,            0.037841,            0.061915,           0.0040251,             0.90792,             0.87303,             0.86273,             0.46773,            0.039091,            0.056989,            0.009769,            0.004687,            0.004687,            0.004687
